sender_upi,receiver_upi,amount,hour_of_day,day_of_week,location,txn_type,device_id,is_new_device,num_txn_last_1hr,num_txn_last_24hr,avg_amount_last_week,is_new_receiver,label
ldvkfugx@oksbi,jrkdxsqpz@okhdfcbank,160.81,16,6,Mumbai,P2P,dev_2169,0,0,4,4437.59,0,0
xyioefkml@okaxis,tljcbzty@okhdfcbank,2287.45,20,5,Chennai,Merchant,dev_956,0,0,4,2577.17,0,0
jxngp@okhdfcbank,kwmveml@paytm,368.61,17,2,Jaipur,Merchant,dev_595,1,2,6,653.13,0,0
rdrvtogmb@okicici,astsvmfjk@okhdfcbank,1359.23,22,2,Pune,P2P,dev_4901,0,1,3,2824.8,0,0
jdsaf@oksbi,fhsweydhp@okicici,1088.58,4,0,Mumbai,Merchant,dev_3367,0,3,5,3660.14,0,0
qtabtvi@okicici,rhlpnhjj@oksbi,2639.76,23,3,Hyderabad,Bill,dev_2065,0,2,7,2849.23,1,0
ekldom@okhdfcbank,napfp@paytm,789.08,14,2,Pune,Merchant,dev_2448,0,0,3,1260.42,0,0
tnfpr@okicici,lenync@paytm,775.29,21,4,Kolkata,P2P,dev_4439,0,1,4,1504.77,1,0
rvobuui@okaxis,fzefbnyag@okhdfcbank,113018.89,1,6,Mumbai,P2P,dev_2081,0,7,24,4234.01,1,1
krozhivj@okaxis,pytrxt@okhdfcbank,1739.36,2,1,Kolkata,Bill,dev_3460,0,2,3,3441.64,0,0
ryqldkngh@oksbi,fwifgrg@okhdfcbank,135.48,17,4,Hyderabad,Bill,dev_3736,1,3,4,3399.76,0,0
fqkqffew@okicici,bufjenoog@oksbi,503.26,1,4,Pune,Merchant,dev_476,0,1,2,4941.07,0,0
ycahka@paytm,ryfedsa@okaxis,73.57,13,4,Kolkata,Merchant,dev_781,0,0,2,2417.35,0,0
yrdsmyqbl@okicici,sbisnx@paytm,507.34,0,4,Delhi,Bill,dev_1559,0,2,5,4918.15,1,0
lubqtnwdc@paytm,ikuwqabou@okicici,442.35,4,3,Chennai,Bill,dev_4674,0,0,3,2854.44,0,0
vqdayxoi@okaxis,vacph@ybl,40.21,23,5,Delhi,Merchant,dev_3001,0,0,2,3689.21,1,0
clnsxyfs@paytm,bezgnqwa@okhdfcbank,79.23,2,0,Mumbai,Bill,dev_2174,0,1,3,4478.18,0,0
nlkvru@okicici,npomrozob@okhdfcbank,46.01,2,1,Bengaluru,Merchant,dev_1628,0,0,3,1770.94,0,0
zhfjl@paytm,bbfyg@oksbi,354.41,0,1,Chennai,P2P,dev_4114,0,0,3,1642.85,1,0
ndewmxof@okicici,mfopxwp@oksbi,834.9,8,0,Delhi,P2P,dev_1464,0,3,5,379.95,1,0
loiogrbwe@okicici,xwiubip@okaxis,819.1,18,2,Pune,Merchant,dev_2480,0,1,3,3772.54,0,0
lievo@oksbi,akzxichd@paytm,421.38,18,2,Mumbai,Bill,dev_1753,0,0,1,4739.49,0,0
tpbkxkcqc@okicici,pcsorvuyk@okhdfcbank,1629.44,11,4,Chennai,Bill,dev_1283,0,1,5,1689.51,0,0
qfqaun@okhdfcbank,vlijhn@okicici,531.46,11,5,Hyderabad,P2P,dev_4614,0,3,6,495.03,0,0
fnjleiq@ybl,zuixu@oksbi,412.21,9,0,Kolkata,P2P,dev_1266,0,2,4,815.78,0,0
llaez@okicici,todbl@okhdfcbank,620.88,3,5,Chennai,Bill,dev_651,1,1,4,1110.27,0,0
gstdtlmc@ybl,gkwtkox@ybl,820.66,7,3,Bengaluru,Merchant,dev_3295,0,1,3,2864.41,0,0
geverxlfi@oksbi,gydueqadl@paytm,295.62,4,2,Jaipur,Bill,dev_3162,1,1,5,915.87,0,0
qyaxeqeky@paytm,xvdru@oksbi,196.69,11,2,Hyderabad,Bill,dev_2415,0,2,7,2538.3,0,0
qxfdv@paytm,iuesys@paytm,815.86,6,3,Jaipur,P2P,dev_3582,0,1,3,2782.86,0,0
yfwgke@oksbi,ogfgdorj@okicici,559.12,17,1,Jaipur,Bill,dev_4698,0,2,5,4156.19,0,0
ybfdjw@paytm,cjapz@okicici,21.54,4,4,Bengaluru,Merchant,dev_2527,1,0,2,1758.53,1,0
ivnsbqqo@okicici,cxmbrk@ybl,61.2,5,0,Bengaluru,QR_Scan,dev_1200,0,1,7,3659.23,0,0
xofdfbe@okaxis,mwwyre@okaxis,396.59,23,0,Chennai,P2P,dev_4604,0,1,2,3498.43,0,0
bhntf@oksbi,ikjjxjj@okhdfcbank,184.5,3,1,Kolkata,Bill,dev_3931,0,1,5,4437.64,0,0
mexdk@oksbi,bdnrc@oksbi,574.69,2,5,Mumbai,P2P,dev_3074,0,0,5,2925.38,0,0
gfpbfnlgf@paytm,vurfdfa@ybl,211.14,11,1,Jaipur,Merchant,dev_4562,0,1,5,4336.26,0,0
xrliu@okhdfcbank,adtwrd@oksbi,1106.08,0,6,Bengaluru,QR_Scan,dev_4336,0,2,12,3628.52,0,0
kjaffxxq@okicici,egodgvb@okicici,110.09,17,5,Pune,Merchant,dev_3954,0,0,2,4164.33,0,0
cnpsgb@oksbi,sryttvj@okhdfcbank,13.48,21,0,Pune,Merchant,dev_3460,0,0,4,2932.13,0,0
ptqitn@okaxis,gfjnqlolk@ybl,1111.01,10,1,Bengaluru,QR_Scan,dev_1195,0,0,6,4342.02,0,0
vumicgm@ybl,lhooifs@oksbi,738.61,13,4,Chennai,QR_Scan,dev_4799,0,2,5,2715.7,0,0
kootoz@okaxis,gamndolhm@okaxis,728.82,14,2,Hyderabad,QR_Scan,dev_1206,0,0,1,1081.69,1,0
vvize@okaxis,uudzt@ybl,193.3,17,1,Jaipur,Merchant,dev_1407,0,2,4,4553.87,1,0
kmksa@okhdfcbank,suyirgg@ybl,462.94,16,2,Delhi,Bill,dev_1369,0,1,2,2826.95,1,0
nagom@ybl,baccsdwrs@okicici,91714.1,0,5,Kolkata,P2P,dev_3806,1,12,40,3815.38,1,1
ksyjup@okaxis,rykzefgd@oksbi,1102.48,9,3,Jaipur,QR_Scan,dev_4404,0,1,6,1477.87,0,0
jvmjz@okaxis,hmcjffe@okaxis,584.88,14,4,Hyderabad,Bill,dev_4922,0,1,4,4239.82,0,0
hlapnfq@okicici,isopmoqy@ybl,249.62,12,0,Hyderabad,QR_Scan,dev_642,0,0,5,3070.81,0,0
cktsxszp@okaxis,utnlakk@ybl,960.77,9,2,Chennai,QR_Scan,dev_4953,0,0,5,493.34,1,0
roxamllas@ybl,hkqsbumw@okicici,1459.23,19,0,Chennai,P2P,dev_3850,0,2,6,4544.54,0,0
uiolnqjbp@paytm,lidhjuroa@paytm,1147.69,9,2,Hyderabad,Bill,dev_1675,1,0,7,2799.02,0,0
xnpxt@okicici,nmhmgull@ybl,1060.04,1,1,Hyderabad,P2P,dev_1970,0,0,7,224.61,0,0
gjbafcy@ybl,njblst@okicici,1551.0,13,5,Delhi,Bill,dev_514,0,1,5,920.63,1,0
eljusmike@ybl,jrotldehe@okicici,950.3,18,2,Jaipur,Merchant,dev_534,0,1,4,3350.68,1,0
nmnqqkx@okicici,fugtycmh@ybl,544.73,18,2,Pune,QR_Scan,dev_1916,0,2,6,2599.31,0,0
yolymmb@okaxis,tunmrov@paytm,1621.89,11,3,Bengaluru,Merchant,dev_2050,0,1,3,227.95,0,0
qvdamzj@paytm,dcboal@okaxis,464.8,17,1,Kolkata,P2P,dev_620,0,1,8,1866.47,0,0
swsffua@okicici,tzueal@paytm,902.22,16,0,Kolkata,Bill,dev_4476,0,0,3,3667.3,0,0
ksrckhpgr@okhdfcbank,lmjagq@ybl,39.66,12,6,Chennai,P2P,dev_1944,1,1,5,4582.17,0,0
dggucc@okhdfcbank,xmpvqkgn@okhdfcbank,2724.35,8,3,Kolkata,Merchant,dev_2136,0,0,2,1786.86,0,0
bvchmslc@okhdfcbank,ewxzw@okaxis,224.51,22,3,Jaipur,P2P,dev_3106,0,1,4,2391.99,0,0
ygzxtaw@paytm,ozqioi@paytm,976.4,16,1,Jaipur,Bill,dev_1198,0,0,2,3385.06,0,0
mpmgr@okhdfcbank,vqvxr@ybl,382.86,20,2,Mumbai,Merchant,dev_4883,0,2,4,3215.44,1,0
nxpqlket@oksbi,zdcswbo@okicici,930.71,17,4,Delhi,Merchant,dev_3792,0,2,6,3737.01,0,0
ebtnej@okicici,tycdns@oksbi,75.24,15,3,Mumbai,QR_Scan,dev_2374,0,3,6,2774.01,0,0
grsbowdh@okaxis,ikgawr@ybl,406.67,1,1,Hyderabad,P2P,dev_1259,0,1,5,4271.69,0,0
nhyqwxr@okhdfcbank,uttjflqm@okicici,2721.39,18,4,Chennai,Merchant,dev_2682,1,1,6,1325.97,0,0
qntqta@ybl,gjycf@okicici,289.65,3,4,Delhi,QR_Scan,dev_3605,0,3,7,2142.37,0,0
xhrwbqo@okaxis,xxirb@okhdfcbank,824.9,0,3,Bengaluru,P2P,dev_2219,0,0,4,1150.79,0,0
bukpjh@ybl,xaklpbmpv@paytm,155.1,14,0,Pune,Bill,dev_3327,0,2,6,816.18,0,0
wglwkgzj@okicici,ejynpb@okaxis,2005.42,13,6,Bengaluru,Bill,dev_2056,0,1,4,420.33,0,0
eglvoutj@ybl,gehftxb@paytm,449.74,1,1,Mumbai,P2P,dev_4118,1,2,5,3291.85,1,0
szeau@ybl,afksrgnxe@okhdfcbank,1432.21,2,3,Chennai,Merchant,dev_2030,0,1,6,2217.2,0,0
amtaht@okhdfcbank,cwpeh@paytm,151.69,3,0,Bengaluru,Bill,dev_3864,1,0,2,3152.5,0,0
nfizuyaeq@ybl,dsmlncn@okhdfcbank,585.25,6,4,Delhi,Bill,dev_3465,1,2,4,1782.06,0,0
kaozqjh@oksbi,tatpz@ybl,1262.49,8,4,Bengaluru,QR_Scan,dev_3015,0,2,4,1624.18,0,0
yyrnk@okaxis,drgkppc@okicici,145.98,23,0,Jaipur,Bill,dev_2399,1,0,6,4815.62,0,0
cxexhcwpd@okicici,rqvfje@oksbi,829.36,5,3,Pune,Merchant,dev_1368,0,3,5,590.37,0,0
